Name,Phone,Email,Appointment Date
asdf,234523452345234,sdf@sf.sfd,2024-12-05
sdfsd,32423423423,sdfs@sdfs.com,2024-12-08
szdfg,3245234234234,sfd@hjg.sadf,2024-12-06
fsadf,23423423423,sdf@dfsw.fs,monday
call me,56546756756756,fhd@fdgh.fg,2024-12-06
john don,23452345243,fsdgfs@gmail.com,monday
dasd,23452345243,fsdgfs@gmail.com,tuesday
dfgbdf ,23452345243,fsdgfs@gmail.com,someday
sdcf,45645645645,sfd@fsd.cs,yesterday
fsd,456456465465,sd@fds.das,Cannot book a date in the past.
adsa,4545454545454,das@swd.fws,"dec 5,2024"
sadf,45645654654,dsf@gd.s,Cannot book a date in the past.
sd,456465465654,das@ds.sd,"dec 5,2024"
dsa,23452345243,fsdgfs@gmail.com,someday  
sdf,4564654654645,wedd@fs.sdf,Cannot book a date in the past.
sdh,45454545454,dsd@ds.com,2024-12-11
